page,campaign,url,utm_source,utm_medium,utm_campaign,utm_content,realtor,comment
Подбор квартиры,prostornaya_selection,https://deputat36.github.io/bm/podbor-kvartiry/,vk,ad,prostornaya_selection,selection_main,,для объявлений "подберём квартиру"
Консультация,prostornaya_consult,https://deputat36.github.io/bm/konsultatsiya-po-novostroyke/,vk,post,prostornaya_consult,consult_main,,для постов с вопросами покупателей
Ранний доступ,prostornaya_early,https://deputat36.github.io/bm/ranniy-dostup/,vk,ad,prostornaya_early,early_main,,для прогрева до цен и планировок
Новостройки,prostornaya_newbuilds,https://deputat36.github.io/bm/novostroyki-borisoglebsk/,vk,ad,prostornaya_newbuilds,newbuilds_main,,широкий спрос по новостройкам
Квартиры от застройщика,prostornaya_developer,https://deputat36.github.io/bm/kvartiry-ot-zastroyschika/,vk,ad,prostornaya_developer,developer_main,,спрос по квартирам от застройщика
